年平均每日交通量,主梁材質_預力混凝土,平均月相對濕度,橋梁總長(M),離海岸距離(公尺),設計垂直地震力係數,是否為跨水橋,橋梁最接近斷層距離,橋下有無租用,label
74040.0,1,81.56313131,21.35,13594,0.05,0,6904.69,0,0
74040.0,1,81.56313131,56.43,14350,0.05,0,5486.03,0,0
63279.0,1,76.23863636,21.54,11816,0.05,1,243.72,0,0
63279.0,1,76.23863636,21.54,11802,0.15,1,228.26,0,0
73750.0,1,76.23863636,61.58,8740,0.05,0,53.11,0,0
73750.0,1,76.23863636,61.58,8759,0.05,0,59.05,0,0
75750.0,1,76.23863636,14.81,7828,0.05,0,3549.58,0,0
75750.0,1,76.23863636,14.81,7820,0.05,0,3566.31,0,0
75750.0,1,76.23863636,21.4,8522,0.05,0,3639.51,0,0
75750.0,1,76.23863636,21.4,8504,0.05,0,3647.4,0,0
75750.0,1,76.23863636,20.04,8514,0.05,1,2974.43,0,0
75750.0,1,76.23863636,20.04,8494,0.05,1,2982.32,0,0
82109.0,1,76.23863636,16.84,8337,0.05,0,2095.11,0,0
82109.0,1,76.23863636,16.84,8320,0.05,0,2102.28,0,0
82109.0,1,76.23863636,15.4,8716,0.05,0,249.06,0,0
82109.0,0,76.23863636,37.0,8393,0.05,0,2411.98,0,0
63279.0,1,81.56313131,25.44,15417,0.05,1,432.01,0,0
63279.0,1,81.56313131,25.44,15406,0.05,1,417.72,0,0
56212.0,1,81.56313131,36.0,9247,0.05,1,13752.42,0,0
48080.0,1,81.56313131,36.0,7953,0.05,1,14331.44,0,0
48080.0,1,81.56313131,59.9,7678,0.05,0,14399.55,0,0
43995.0,1,81.56313131,60.9,7139,0.05,0,14643.67,0,0
8080.0,1,81.56313131,66.9,4717,0.05,0,16785.06,0,0
4808.0,1,81.56313131,67.72,4696,0.05,0,16805.77,0,0
97343.0,1,81.56313131,35.9,10649,0.05,1,13361.48,0,0
97343.0,1,81.56313131,396.3,11055,0.05,0,12867.13,0,0
56212.0,1,81.56313131,386.5,10772,0.05,0,13153.85,0,0
74040.0,1,81.56313131,66.0,12500,0.05,0,9253.55,0,0
7404.0,1,81.56313131,55.94,15748,0.05,0,3869.24,0,0
7404.0,1,81.56313131,56.1,16521,0.05,0,2287.28,0,0
66916.0,1,81.56313131,56.08,16632,0.05,0,1987.47,0,0
5555.0,1,76.78156566,113.5,7267,0.05,0,6713.77,0,0
7375.0,1,76.23863636,85.0,7104,0.05,0,1085.13,0,0
7375.0,1,76.23863636,82.0,6404,0.05,0,3315.91,0,0
73.0,1,76.23863636,80.0,6476,0.05,0,3412.23,0,0
24375.0,0,76.23863636,82.27,9055,0.1,0,571.44,0,0
21121.0,1,76.23863636,77.0,8857,0.1,0,2022.76,0,0
21121.0,1,76.23863636,73.5,8965,0.1,0,1609.84,0,0
21121.0,1,76.23863636,104.0,8947,0.1,0,1559.06,0,0
21121.0,1,76.23863636,100.0,8928,0.1,0,1178.3,0,0
17519.0,1,76.23863636,80.0,8219,0.1,0,712.76,0,0
17519.0,1,76.23863636,68.5,7379,0.1,0,572.22,0,0
17519.0,1,76.23863636,69.34,7204,0.1,0,551.63,0,0
75750.0,1,76.23863636,75.0,6971,0.05,1,3470.76,0,0
75750.0,1,76.23863636,75.0,6976,0.05,1,3487.17,0,0
75750.0,1,76.23863636,440.0,7156,0.05,1,3455.21,0,0
75750.0,1,76.23863636,450.0,7140,0.05,1,3474.81,0,0
82109.0,1,76.23863636,808.74,8318,0.05,1,944.82,0,0
